dimension, n0, naive_time, strassens_time
128, 64, 1.439, 1.358
129, 72, 2.598, 1.861
130, 65, 1.479, 1.39
131, 67, 1.521, 1.514
132, 66, 1.532, 1.462
133, 97, 1.549, 1.529
134, 67, 1.647, 1.495
135, 68, 1.704, 1.645
136, 68, 1.549, 1.435
137, 69, 1.642, 1.586
138, 69, 1.699, 1.58
139, 70, 1.747, 1.707
140, 70, 1.713, 1.591
141, 71, 1.729, 1.724
142, 71, 1.716, 1.686
143, 73, 1.843, 1.825
144, 72, 1.935, 1.777
145, 73, 2.015, 1.88
146, 73, 2.01, 1.81
147, 74, 2.025, 1.948
148, 74, 2.193, 1.923
149, 75, 2.256, 2.229
150, 75, 2.192, 2.097
151, 82, 2.262, 2.26
152, 76, 2.416, 2.248
153, 77, 2.439, 2.398
154, 79, 2.523, 2.359
155, 78, 2.584, 2.485
156, 78, 2.561, 2.395
157, 79, 2.644, 2.584
158, 79, 2.565, 2.437
159, 80, 2.759, 2.64
160, 59, 6.604, 6.443
161, 81, 2.925, 2.744
162, 81, 3.023, 2.713
163, 82, 3, 2.769
164, 82, 3.073, 2.75
165, 83, 3.214, 2.937
166, 83, 3.239, 2.939
167, 84, 3.245, 2.991
168, 84, 3.353, 2.863
169, 85, 3.399, 3.21
170, 84, 4.63, 4.074
171, 86, 3.659, 3.306
172, 43, 3.785, 3.719
173, 87, 3.747, 3.258
174, 87, 3.718, 3.293
175, 88, 3.795, 3.493
176, 88, 3.881, 3.258
177, 89, 3.941, 3.48
178, 89, 3.957, 3.352
179, 46, 4.202, 4.052
180, 45, 5.236, 5.027
181, 57, 5.421, 5.349
182, 50, 4.336, 4.327
183, 46, 4.577, 4.532
184, 46, 5.144, 4.834
185, 50, 4.484, 4.442
186, 47, 4.877, 4.778
187, 47, 4.899, 4.662
188, 47, 4.707, 4.253
189, 95, 4.854, 4.112
190, 62, 6.15, 5.326
191, 48, 5.586, 5.464
192, 48, 5.598, 5.152
193, 52, 5.888, 5.841
194, 49, 6.056, 5.646
195, 49, 5.716, 5.308
196, 49, 5.865, 5.111
197, 50, 5.927, 5.605
198, 50, 5.876, 5.596
199, 50, 6.559, 6.145
200, 50, 7.496, 6.496
201, 51, 6.076, 5.698
202, 51, 6.999, 6.434
203, 51, 7.88, 6.821
204, 51, 6.368, 5.381
205, 52, 7.396, 7.11
206, 52, 6.303, 5.939
207, 52, 6.438, 5.765
208, 52, 6.821, 5.68
209, 53, 8.377, 7.439
210, 53, 6.897, 6.109
211, 53, 6.926, 6.025
212, 53, 7.211, 5.898
213, 54, 7.277, 6.745
214, 54, 7.05, 6.441
215, 54, 8.046, 7.358
216, 54, 7.788, 6.173
217, 55, 8.461, 7.307
218, 55, 8.179, 6.837
219, 55, 8.281, 6.696
220, 55, 8.314, 6.493
221, 56, 8.409, 7.109
222, 56, 8.188, 7.046
223, 56, 8.257, 6.897
224, 56, 8.929, 7.011
225, 57, 9.028, 7.846
226, 57, 9.197, 7.671
227, 57, 8.813, 7.619
228, 57, 9.251, 7.211
229, 58, 9.384, 8.211
230, 58, 8.407, 7.636
231, 58, 8.976, 7.504
232, 47, 17.289, 12.555
233, 59, 10.465, 8.868
234, 59, 10.219, 8.463
235, 59, 10.63, 8.197
236, 59, 10.248, 7.93
237, 38, 14.793, 14.271
238, 60, 11.241, 9.743
239, 59, 16.161, 15.547
240, 41, 18.664, 16.366
241, 61, 10.932, 8.822
242, 61, 10.778, 9.071
243, 61, 11.002, 8.731
244, 61, 10.87, 8.466
245, 62, 11.483, 9.581
246, 62, 11.116, 9.149
247, 62, 10.737, 8.918
248, 62, 11.762, 9.172
249, 63, 11.822, 9.89
250, 63, 12.307, 9.859
251, 63, 11.337, 9.572
252, 63, 12.631, 9.487
253, 64, 12.796, 10.638
254, 32, 16.125, 16.073
255, 39, 14.951, 14.788
256, 32, 13.911, 13.741
257, 65, 13.809, 10.479
258, 65, 12.696, 10.275
259, 65, 14.475, 10.739
260, 65, 15.306, 11.109
261, 60, 18.575, 18.037
262, 40, 17.838, 16.855
263, 53, 22.078, 18.092
264, 33, 19.254, 18.867
265, 67, 16.288, 13.063
266, 67, 15.636, 12.513
267, 59, 34.02, 30.227
268, 41, 21.653, 20.552
269, 55, 24.251, 18.055
270, 68, 16.692, 12.862
271, 38, 16.853, 16.826
272, 34, 17.597, 16.537
273, 69, 17.626, 13.718
274, 69, 18.554, 14.018
275, 69, 17.454, 13.019
276, 69, 18.788, 13.676
277, 70, 18.265, 14.962
278, 70, 18.244, 14.777
279, 70, 19.262, 15.728
280, 57, 21.075, 20.848
281, 42, 25.01, 23.039
282, 71, 19.431, 14.303
283, 71, 19.797, 14.297
284, 36, 19.888, 19.736
285, 36, 20.468, 19.799
286, 46, 19.986, 19.895
287, 48, 24.735, 22.915
288, 36, 21.642, 19.108
289, 73, 21.558, 16.4
290, 73, 24.939, 18.484
291, 47, 36.39, 30.632
292, 37, 22.643, 22.557
293, 37, 23.392, 22.981
294, 73, 38.569, 31.707
295, 37, 21.426, 21.371
296, 37, 22.755, 21.077
297, 53, 26.383, 25.335
298, 75, 24.957, 19.895
299, 38, 24.319, 23.578
300, 38, 25.038, 23.356
301, 38, 25.077, 23.421
302, 38, 24.575, 23.988
303, 38, 29.115, 27.945
304, 38, 25.989, 22.607
305, 39, 25.202, 24.344
306, 39, 26.689, 24.489
