P: 0.01 | Triangles: 182
P: 0.01 | Triangles: 161
P: 0.01 | Triangles: 168
P: 0.01 | Triangles: 187
P: 0.01 | Triangles: 166
P: 0.01 | Triangles: 193
P: 0.01 | Triangles: 175
P: 0.01 | Triangles: 190
P: 0.01 | Triangles: 183
P: 0.01 | Triangles: 163
P: 0.01 | AVERAGE: 176.8
P: 0.02 | Triangles: 1485
P: 0.02 | Triangles: 1446
P: 0.02 | Triangles: 1423
P: 0.02 | Triangles: 1525
P: 0.02 | Triangles: 1399
P: 0.02 | Triangles: 1447
P: 0.02 | Triangles: 1438
P: 0.02 | Triangles: 1447
P: 0.02 | Triangles: 1433
P: 0.02 | Triangles: 1388
P: 0.02 | AVERAGE: 1443.1
P: 0.03 | Triangles: 4862
P: 0.03 | Triangles: 4679
P: 0.03 | Triangles: 4901
P: 0.03 | Triangles: 4723
P: 0.03 | Triangles: 4609
P: 0.03 | Triangles: 4631
P: 0.03 | Triangles: 4931
P: 0.03 | Triangles: 4852
P: 0.03 | Triangles: 4742
P: 0.03 | Triangles: 4796
P: 0.03 | AVERAGE: 4772.6
P: 0.04 | Triangles: 11208
P: 0.04 | Triangles: 11699
P: 0.04 | Triangles: 11442
P: 0.04 | Triangles: 11455
P: 0.04 | Triangles: 11296
P: 0.04 | Triangles: 11134
P: 0.04 | Triangles: 11144
P: 0.04 | Triangles: 11639
P: 0.04 | Triangles: 11373
P: 0.04 | Triangles: 11261
P: 0.04 | AVERAGE: 11365.1
P: 0.05 | Triangles: 21871
P: 0.05 | Triangles: 22118
P: 0.05 | Triangles: 22556
P: 0.05 | Triangles: 22380
P: 0.05 | Triangles: 22319
P: 0.05 | Triangles: 22420
P: 0.05 | Triangles: 22092
P: 0.05 | Triangles: 21762
P: 0.05 | Triangles: 23034
P: 0.05 | Triangles: 21944
P: 0.05 | AVERAGE: 22249.6
