dimension, n0, naive_time, strass_time
128, 64, 1.518, 1.507
128, 65, 1.392, 1.332
128, 35, 1.96, 1.873
128, 38, 2.298, 2.044
128, 64, 1.48, 1.355
256, 36, 16.269, 15.837
256, 64, 14.443, 11.505
256, 64, 14.272, 11.193
256, 64, 14.302, 11.555
256, 57, 15.682, 15.662
512, 32, 142.351, 105.136
512, 32, 149.995, 113.134
512, 32, 141.837, 106.672
512, 32, 141.639, 105.791
512, 32, 142.027, 106.707
1024, 16, 1496, 1471.96
1024, 16, 2318.29, 1689.42
1024, 16, 1594.31, 1520.19
1024, 16, 1717.06, 1482.41
1024, 17, 1578.26, 1476.83
2048, 8, 35813.5, 21963
